input,normalized,gt_label
there is some money,there is some money,money
ther is some money,there is some money,money
thr is some money,there is some money,money
there is some mone,there is some money,money
i have my mourning routine,i have my mourning routine,morning routine
i have my mourningroutine,i have my morning routine,morning routine
i have my mrnng routine,i have my morning routine,morning routine
i hv my mourning routine,i hv my mourning routine,morning routine
i want to play with friend,i want to play with friend,play with friend
i want t play with friend,i want t play with friend,play with friend
i want to lpay with friend,i want to play with friend,play with friend
i want toplay with friend,i want play with friend,play with friend
its in red light please stop,its in red light please stop,red light- wait
ist in red light please stop,it in red light please stop,red light- wait
its in red ligh please stop,its in red light please stop,red light- wait
its i red light please stop,its i red light please stop,red light- wait
run,run,run
rn,run,run
ru,run,run
go back,go back,back
go bac,go back,back
goback,back,back
g back,g back,back
add some butter,add some butter,butter
add sm butter,add sm butter,butter
dd some butter,add some butter,butter
addsome butter,addsome butter,butter
add some chilli flakes,add some chilli flakes,chilli flakes
add some chill flakes,add some chilli flakes,chilli flakes
add some chilli flake,add some chilli flakes,chilli flakes
add osme chilli flakes,add some chilli flakes,chilli flakes
add some chilli,add some chilli,chilli
add smoe chilli,add some chilli,chilli
add somechilli,add chilli,chilli
add osme chilli,add some chilli,chilli
give me some dips,give me some dips,dips
giveme some dips,give some dips,dips
give mesome dips,give some dips,dips
give me eclairs,give me eclairs,eclairs
give me eclaris,give me eclairs,eclairs
give meeclairs,give eclairs,eclairs
give me celairs,give me eclairs,eclairs
give me some jam,give me some jam,jam
igve me some jam,gve me some jam,jam
giveme some jam,give some jam,jam
giev me some jam,give me some jam,jam
give some ketchup,give some ketchup,ketchup
give osme ketchup,give some ketchup,ketchup
give soem ketchup,give some ketchup,ketchup
give some ktchp,give some ketchup,ketchup
add some maple syrup,add some maple syrup,maple syrup
add somemaple syrup,add somemaple syrup,maple syrup
add some maplesyrup,add some maple syrup,maple syrup
addsome maple syrup,addsome maple syrup,maple syrup
add some masala,add some masala,masala
add some msl,add some msl,masala
add some masala,add some masala,masala
dd some masala,add some masala,masala
add some mustard,add some mustard,mustard
addsome mustard,addsome mustard,mustard
add som mustard,add some mustard,mustard
add somemustard,add mustard,mustard
give me peanut butter,give me peanut butter,peanut butter
giv me peanut butter,give me peanut butter,peanut butter
give me peanu butter,give me peanut butter,peanut butter
add some pepper,add some pepper,pepper
dad some pepper,dad some pepper,pepper
add some peppe,add some pepper,pepper
ad some pepper,sad some pepper,pepper
give some pickle,give some pickle,pickle
gv some pickle,gve some pickle,pickle
giv some pickle,give some pickle,pickle
give some piclke,give some pickle,pickle
i want some raita,i want some raita,raita
i want osme raita,i want some raita,raita
i want some rt,i want some rt,raita
i want someraita,i want someraita,raita
sabzi is nice,sabzi is nice,sabzi
sabzi is nc,sabzi is nc,sabzi
sabz is nice,sabzi is nice,sabzi
do some salad dressing,do some salad dressing,salad dressing
dosome salad dressing,some salad dressing,salad dressing
do som salad dressing,do some salad dressing,salad dressing
do some salad dressin,do some salad dressing,salad dressing
add some salt,add some salt,salt
ad some salt,sad some salt,salt
add som salt,add some salt,salt
add more sause,add more sause,sauce
add more sause,add more sause,sauce
add mr sause,add mr sause,sauce
addmore sause,addmore sause,sauce
there is an ant,there is an ant,ant
thereis an ant,there's an ant,ant
theer is an ant,these is an ant,ant
there is an ant,there is an ant,ant
there is a bee,there is a bee,bee
there is a bee,there is a bee,bee
there is a b,there is a b,bee
thereis a bee,there's a bee,bee
there is a bison,there is a bison,bison
there is a bsn,there is a bison,bison
there is a biosn,there is a bison,bison
there is  bison,there is bison,bison
its a buffalo,its a buffalo,buffalo
its abuffalo,its buffalo,buffalo
its a buffal,its a buffalo,buffalo
its a bffl,its a bffl,buffalo
its a cat,its a cat,cat
itsa cat,its cat,cat
tƒ??s a cat,its a cat,cat
its a cta,its a cta,cat
its a cockroach,its a cockroach,cockroach
itƒ?? a cockroach,its a cockroach,cockroach
its a cockroach,its a cockroach,cockroach
tiƒ??s a cockroach,this a cockroach,cockroach
i see the cow,i see the cow,cow
i see the cow,i see the cow,cow
i see the cwo,i see the cwo,cow
i see a crocodile,i see a crocodile,crocodile
i see acrocodile,i see crocodile,crocodile
i see a crocodile,i see a crocodile,crocodile
i see a crocodil,i see a crocodile,crocodile
there is a dog,there is a dog,dog
thereis a dog,there's a dog,dog
thr is a dog,there is a dog,dog
there is a dg,there is a dog,dog
its the dolphin,its the dolphin,dolphin
its thedolphin,its dolphin,dolphin
its teh dolphin,its teeth dolphin,dolphin
its the dlophin,its the dolphin,dolphin
its the donkey,its the donkey,donkey
its the dnokey,its the donkey,donkey
itsthe donkey,itsthe donkey,donkey
its th donkey,its the donkey,donkey
its the elephant,its the elephant,elephant
itsthe elephant,itsthe elephant,elephant
its th elephant,its the elephant,elephant
its theelephant,its elephant,elephant
there is the fox,there is the fox,fox
thereis the fox,there's the fox,fox
there is th fox,there is the fox,fox
there is the fox,there is the fox,fox
there is the giraffe,there is the giraffe,giraffe
thereis the giraffe,there's the giraffe,giraffe
there s the giraffe,there s the giraffe,giraffe
there is thegiraffe,there is giraffe,giraffe
there is the goat,there is the goat,goat
there is the ogat,there is the goat,goat
there is the goa,there is the goat,goat
there is the gaot,there is the goat,goat
there is the hippopotamus,there is the hippopotamus,hippopotamus
there s the hippopotamus,there s the hippopotamus,hippopotamus
there is the hippopotamu,there is the hippopotamus,hippopotamus
thereis the hippopotamus,there's the hippopotamus,hippopotamus
there is the horse,there is the horse,horse
there isthe horse,there the horse,horse
ther is the horse,there is the horse,horse
there s the horse,there s the horse,horse
its the kangaroo,its the kangaroo,kangaroo
its the kangaro,its the kangaroo,kangaroo
there is a lion,there is a lion,lion
there is a lion,there is a lion,lion
ther is a lion,there is a lion,lion
there is a lio,there is a lion,lion
there is a monkey,there is a monkey,monkey
there is a monkey,there is a monkey,monkey
there isa monkey,there is monkey,monkey
there i a monkey,there i a monkey,monkey
mosquito bites,mosquito bites,mosquito
mosquito bite,mosquito bites,mosquito
mosquit bites,mosquito bites,mosquito
mosquitobites,mosquito,mosquito
there is a mouse,there is a mouse,mouse
thr is a mouse,there is a mouse,mouse
there isa mouse,there is mouse,mouse
there i a mouse,there i a mouse,mouse
there is panda,there is panda,panda
there is pand,there is panda,panda
there ispanda,there panda,panda
there's the penguin,there's the penguin,penguin
there's thepenguin,there's penguin,penguin
there's the pengiun,there's the penguin,penguin
thr's the penguin,there's the penguin,penguin
there is the pig,there is the pig,pig
there is hte pig,there is white pig,pig
there is the pg,there is the pig,pig
three is the pig,these is the pig,pig
its a rabbit,its a rabbit,rabbit
its a rbbt,its a rabbit,rabbit
itƒ?? a rabbit,its a rabbit,rabbit
its  rabbit,its rabbit,rabbit
there is the shark,there is the shark,shark
ther is the shark,there is the shark,shark
there is th shark,there is the shark,shark
there is theshark,there is shark,shark
there is the sheep,there is the sheep,sheep
there i the sheep,there i the sheep,sheep
thereis the sheep,there's the sheep,sheep
there is thesheep,there is these,sheep
there is the skunk,there is the skunk,skunk
there isthe skunk,there the skunk,skunk
there is the skun,there is the skunk,skunk
there is th skunk,there is the skunk,skunk
its a snake,its a snake,snake
tis a snake,this a snake,snake
itsa snake,its snake,snake
ts a snake,its a snake,snake
its bat,its bat,bat
tiƒ??s bat,this bat,bat
itƒ?? bat,its bat,bat
itsbat,itsbat,bat
i see birds,i see birds,birds
i se birds,i use birds,birds
i seebirds,i birds,birds
i see birds,i see birds,birds
its a crow,its a crow,crow
its a crow,its a crow,crow
tƒ??s a crow,its a crow,crow
its a crwo,its a crow,crow
its a cuckoo,its a cuckoo,cuckoo
its a cucko,its a cuckoo,cuckoo
tiƒ??s a cuckoo,this a cuckoo,cuckoo
its a cck,its a cck,cuckoo
there is the dove,there is the dove,dove
there s the dove,there s the dove,dove
there is th dove,there is the dove,dove
there is thedove,there is thedove,dove
there is a duck,there is a duck,duck
there is a duck,there is a duck,duck
htere is a duck,here is a duck,duck
thereis a duck,there's a duck,duck
there is the eagle,there is the eagle,eagle
there is the gl,there is the gl,eagle
there s the eagle,there s the eagle,eagle
there i the eagle,there i the eagle,eagle
there is kingfisher,there is kingfisher,kingfisher
there is knigfisher,there is kingfisher,kingfisher
there is kngfshr,there is kingfisher,kingfisher
thr is kingfisher,there is kingfisher,kingfisher
its an owl,its an owl,owl
its an wl,its an owl,owl
ts an owl,its an owl,owl
there is a parrot,there is a parrot,parrot
ther is a parrot,there is a parrot,parrot
there is a parrot,there is a parrot,parrot
there isa parrot,there is parrot,parrot
where is the pelican,where is the pelican,pelican
where is the pelican,where is the pelican,pelican
where is th pelican,where is the pelican,pelican
there is the pegion,there is the pegion,pigeon
there is the pegio,there is the pegion,pigeon
htere is the pegion,here is the pegion,pigeon
ther is the pegion,there is the pegion,pigeon
its a sparrow,its a sparrow,sparrow
itsa sparrow,its sparrow,sparrow
it a sparrow,it a sparrow,sparrow
its a sprrw,its a sparrow,sparrow
blow my nose,blow my nose,blow nose
blowmy nose,blow nose,blow nose
blow my ns,blow my ns,blow nose
blow my nose,blow my nose,blow nose
put my body vest,put my body vest,body vests
put my body evst,put my body vest,body vests
ptu my body vest,ptu my body vest,body vests
put my body vest,put my body vest,body vests
its my body,its my body,body
itsmy body,its body,body
its my body,its my body,body
tis my body,this my body,body
i want to brush my teeth,i want to brush my teeth,brush teeth
i want to brushmy teeth,i want to brush teeth,brush teeth
i want t brush my teeth,i want t brush my teeth,brush teeth
i wantto brush my teeth,i want brush my teeth,brush teeth
my ear,my ear,ears
myear,year,ears
my r,my r,ears
my elbow,my elbow,elbow
m elbow,m elbow,elbow
my elbow,my elbow,elbow
my eblow,my blow,elbow
my eyes,my eyes,eyes
my ys,my ys,eyes
my eyes,my eyes,eyes
myeyes,eyes,eyes
my fingers,my fingers,fingers
my fingers,my fingers,fingers
my finger,my fingers,fingers
myfingers,fingers,fingers
my hair,my hair,hair
my hair,my hair,hair
my hr,my hr,hair
my hands,my hands,hands
myhands,hands,hands
my hnads,my hands,hands
my ahnds,my hands,hands
my head,my head,head
my hd,my hd,head
myhead,head,head
my head,my head,head
my heart,my heart,heart
myheart,heart,heart
my heart,my heart,heart
my hrt,my hurt,heart
my hip,my hip,hip
my ihp,my ihp,hip
my hp,my hip,hip
myhip,hip,hip
my knee,my knee,knee
my kn,my kn,knee
my knee,my knee,knee
my legs,my legs,legs
my legs,my legs,legs
my lgs,my legs,legs
mylegs,legs,legs
my mouth,my mouth,mouth
mymouth,mouth,mouth
my mouth,my mouth,mouth
my neck,my neck,neck
myneck,neck,neck
my nck,my neck,neck
my nose,my nose,nose
mynose,nose,nose
my ns,my ns,nose
my nose,my nose,nose
it is black,it is black,black
it is black,it is black,black
it isblack,it black,black
i is black,i is black,black
it is blue,it is blue,blue
it is blu,it is blue,blue
it isblue,it blue,blue
it is blue,it is blue,blue
this is brown,this is brown,brown
this isbrown,this brown,brown
thi is brown,this is brown,brown
this is brow,this is brown,brown
beautiful colors,beautiful colors,colors
btfl colors,btfl colors,colors
beautiful coolrs,beautiful colors,colors
beautifu colors,beautiful colors,colors
its gray,its gray,gray
itsgray,itsgray,gray
it gray,it gray,gray
its green,its green,green
itsgreen,green,green
its gree,its green,green
its pink,its pink,pink
it pink,it pink,pink
tis pink,this pink,pink
its pnik,its pink,pink
its purple,its purple,purple
ts purple,its purple,purple
its prpl,its purple,purple
its purlpe,its purple,purple
its red,its red,red
ts red,its red,red
itsred,itsred,red
its rde,its ride,red
its silver,its silver,silver
itssilver,silver,silver
ts silver,its silver,silver
i want bournvita,i want bournvita,bournvita
i want brnvt,i want brnvt,bournvita
i want oburnvita,i want bournvita,bournvita
i want bournvita,i want bournvita,bournvita
i want coca-cola,i want coca-cola,coca-cola
i want cocac-ola,i want coca-cola,coca-cola
iwant coca-cola,want coca-cola,coca-cola
i wnat coca-cola,i what coca-cola,coca-cola
i want coffee,i want coffee,coffee
i want cfofee,i want coffee,coffee
i want cff,i want cff,coffee
 want coffee,want coffee,coffee
i want cold coffee,i want cold coffee,cold coffee
i wan cold coffee,i want cold coffee,cold coffee
i wantcold coffee,i wantcold coffee,cold coffee
iwant cold coffee,want cold coffee,cold coffee
i need cold drinks,i need cold drinks,cold drinks
ineed cold drinks,need cold drinks,cold drinks
i need cold drinks,i need cold drinks,cold drinks
 need cold drinks,need cold drinks,cold drinks
give me something to drink,give me something to drink,drinks
give me something to drink,give me something to drink,drinks
give m something to drink,give m something to drink,drinks
giv me something to drink,give me something to drink,drinks
give me energy drink,give me energy drink,energy drink
give me enregy drink,give me energy drink,energy drink
give me energy drikn,give me energy drink,energy drink
giev me energy drink,give me energy drink,energy drink
give me some fanta,give me some fanta,fanta
give me somefanta,give me somefanta,fanta
give m some fanta,give m some fanta,fanta
give me sm fanta,give me sm fanta,fanta
give me flavoured milk,give me flavoured milk,flavoured milk
give meflavoured milk,give flavoured milk,flavoured milk
gv me flavoured milk,gve me flavoured milk,flavoured milk
give me flavoured milk,give me flavoured milk,flavoured milk
i want ginger ale,i want ginger ale,ginger ale
i want ginger ale,i want ginger ale,ginger ale
i want ginger l,i want ginger l,ginger ale
i wan ginger ale,i want ginger ale,ginger ale
give me maaza,give me maaza,maaza
give me maaza,give me maaza,maaza
igve me maaza,gve me maaza,maaza
give memaaza,give maaza,maaza
give me some milk,give me some milk,milk
give m some milk,give m some milk,milk
giv me some milk,give me some milk,milk
gv me some milk,gve me some milk,milk
give e milkshake,give e milkshake,milkshake
give  milkshake,give milkshake,milkshake
givee milkshake,give milkshake,milkshake
give e milskhake,give e milkshake,milkshake
i want miranda,i want miranda,mirinda
i wantmiranda,i miranda,mirinda
i wan miranda,i want miranda,mirinda
i want miranda,i want miranda,mirinda
buy me a mountain dew,buy me a mountain dew,mountain dew
buy mea mountain dew,buy me mountain dew,mountain dew
buy me a mountai dew,buy me a mountain dew,mountain dew
buy me a mountain dw,buy me a mountain dew,mountain dew
give me pepsi,give me pepsi,pepsi
give mepepsi,give pepsi,pepsi
give m pepsi,give m pepsi,pepsi
gv me pepsi,gve me pepsi,pepsi
make me a protien shake,make me a protien shake,protien shake
mkae me a protien shake,make me a protien shake,protien shake
make me a protie shake,make me a protien shake,protien shake
mk me a protien shake,mk me a protien shake,protien shake
i want smoothie,i want smoothie,smoothie
i want smoothie,i want smoothie,smoothie
i wnt smoothie,i want smoothie,smoothie
i want smth,i want smth,smoothie
i want soda,i want soda,soda
 want soda,want soda,soda
i wnt soda,i want soda,soda
iwant soda,want soda,soda
i want some soup,i want some soup,soup
i want some soup,i want some soup,soup
i want osme soup,i want some soup,soup
iwant some soup,want some soup,soup
i want strawberry milkshake,i want strawberry milkshake,strawberry milkshake
i watn strawberry milkshake,i what strawberry milkshake,strawberry milkshake
i want strwbrry milkshake,i want strawberry milkshake,strawberry milkshake
i wantstrawberry milkshake,i strawberry milkshake,strawberry milkshake
i am afraid,i am afraid,afraid
i am frd,i am fried,afraid
i am afradi,i am afraid,afraid
i am afraid,i am afraid,afraid
i am amazed,i am amazed,amazed
iam amazed,am amazed,amazed
i am amazed,i am amazed,amazed
i am angry,i am angry,angry
 am angry,am angry,angry
i am agnry,i am angry,angry
i amangry,i angry,angry
i am feeling ashmed,i am feeling ashmed,ashamed
i am feeling ashmed,i am feeling ashmed,ashamed
its awesome,its awesome,awesome!
its wsm,its wsm,awesome!
tis awesome,this awesome,awesome!
i am bored,i am bored,bored
i am brd,i am bread,bored
i am bore,i am bored,bored
iam bored,am bored,bored
its too cold,its too cold,cold
itstoo cold,itstoo cold,cold
its toocold,its toocold,cold
its to cold,its to cold,cold
i am confused,i am confused,confused
i am confused,i am confused,confused
i amconfused,i confused,confused
i am in danger,i am in danger,danger
i amin danger,i pain danger,danger
i am in adnger,i am in danger,danger
i am in dngr,i am in danger,danger
i am disappointed,i am disappointed,disappointed
i am disappointed,i am disappointed,disappointed
iam disappointed,am disappointed,disappointed
excuse me pls,excuse me pls,excuse me
excuse me pls,excuse me pls,excuse me
excus me pls,excuse me pls,excuse me
excuse m pls,excuse m pls,excuse me
i am feeling cold,i am feeling cold,feeling cold
i am feelingcold,i am feeling cold,feeling cold
i amfeeling cold,i feeling cold,feeling cold
i am feeling warm,i am feeling warm,feeling warm
i am feeling warm,i am feeling warm,feeling warm
i am feeling wrm,i am feeling warm,feeling warm
i am feelin warm,i am feeling warm,feeling warm
i have feelings,i have feelings,feelings
i have flngs,i have feelings,feelings
ihave feelings,have feelings,feelings
i hav feelings,i have feelings,feelings
its fun,its fun,fun
ts fun,its fun,fun
itsfun,itsfun,fun
its fn,its fun,fun
this hurts,this hurts,hurt
ths hurts,this hurts,hurt
thishurts,thishurts,hurt
i am hurt,i am hurt,i am hurt
i am hur,i am hurt,i am hurt
i am hurt,i am hurt,i am hurt
i am in pain,i am in pain,i am in pain
i amin pain,i pain pain,i am in pain
i am inpain,i am pain,i am in pain
i am sorry,i am sorry,i am sorry
i am soryr,i am story,i am sorry
i amsorry,i sorry,i am sorry
 am sorry,am sorry,i am sorry
i don't understand,i don't understand,i don't understand
i don't undersatnd,i don't understand,i don't understand
idon't understand,don't understand,i don't understand
i don't understand,i don't understand,i don't understand
i feel sick,i feel sick,i feel sick
i feel sick,i feel sick,i feel sick
 feel sick,feel sick,i feel sick
i feel isck,i feel sick,i feel sick
i feel tired,i feel tired,i feel tired
i feel tired,i feel tired,i feel tired
i feel trd,i feel tired,i feel tired
i fee tired,i feel tired,i feel tired
i need a break,i need a break,i need a break
i need a break,i need a break,i need a break
i needa break,i need break,i need a break
i need more time,i need more time,i need more time
 need more time,need more time,i need more time
ineed more time,need more time,i need more time
i need mr time,i need mr time,i need more time
i want to be alone,i want to be alone,i want to be alone
i want to be aloen,i want to be alone,i want to be alone
i want to be alone,i want to be alone,i want to be alone
i was hit,i was hit,i was hit
iwas hit,was hit,i was hit
i ws hit,i was hit,i was hit
i was hi,i was hi,i was hit
i was made fun of,i was made fun of,i was made fun of
i was made fun of,i was made fun of,i was made fun of
i was made fun o,i was made fun o,i was made fun of
i ws made fun of,i was made fun of,i was made fun of
i was pinched,i was pinched,i was pinched
iwas pinched,was pinched,i was pinched
i ws pinched,i was pinched,i was pinched
i was pinche,i was pinched,i was pinched
i was pushed,i was pushed,i was pushed
i was pushe,i was pushed,i was pushed
i wa pushed,i want pushed,i was pushed
i was puhsed,i was pushed,i was pushed
i was scolded,i was scolded,i was scolded
i ws scolded,i was scolded,i was scolded
i was scolded,i was scolded,i was scolded
 was scolded,was scolded,i was scolded
i was touched inappropriately,i was touched inappropriately,i was touched inappropriately
i was touched npprprtly,i was touched inappropriately,i was touched inappropriately
i was touhced inappropriately,i was touched inappropriately,i was touched inappropriately
its my birthday,its my birthday,my birthday
its my birthday,its my birthday,my birthday
its mybirthday,its my birthday,my birthday
tis my birthday,this my birthday,my birthday
quiet please,quiet please,quiet please!
quie please,quiet please,quiet please!
quiet pls,quiet pls,quiet please!
quite please,quiet please,quiet please!
its a rainy day,its a rainy day,rainy
its a rainy dy,its a rainy day,rainy
its a rainyday,its a rainy,rainy
its a raiyn day,its a rainy day,rainy
i am sad,i am sad,sad
i am sd,i am sad,sad
i m sad,i m sad,sad
i am sa,i am sad,sad
be safety,be safety,safety
be safety,be safety,safety
be safet,be safety,safety
b safety,b safety,safety
i want to sleep,i want to sleep,sleep
 want to sleep,want to sleep,sleep
iwant to sleep,want to sleep,sleep
its a star,its a star,star
it a star,it a star,star
its a str,its a star,star
itsa star,its star,star
i am stressed out,i am stressed out,stressed
i am stressed out,i am stressed out,stressed
i am stressed t,i am stressed t,stressed
i am strssd out,i am stressed out,stressed
hello aunty,hello aunty,aunt
hello nty,hello aunty,aunt
hll aunty,hello aunty,aunt
hello aunt,hello aunt,aunt
this is my brother,this is my brother,brother
this ismy brother,this ismy brother,brother
this s my brother,this s my brother,brother
this is my caregiver,this is my caregiver,caregiver
this ismy caregiver,this ismy caregiver,caregiver
this is my caregiver,this is my caregiver,caregiver
thisis my caregiver,this my caregiver,caregiver
this is my cousin,this is my cousin,cousin
thsi is my cousin,this is my cousin,cousin
this is my cousi,this is my cousin,cousin
this is my cousin,this is my cousin,cousin
this is my father,this is my father,father
this is my father,this is my father,father
this ismy father,this ismy father,father
this is my fathe,this is my father,father
take me to friends house,take me to friends house,friend's house
take me to friendshouse,take me to friend's house,friend's house
take me tofriends house,take me friends house,friend's house
they are my friends,they are my friends,friends
they are m friends,they are m friends,friends
they are my friend,they are my friend,friends
they are myfriends,they are friends,friends
take me to relatives house,take me to relatives house,relative's house
take me torelatives house,take me relatives house,relative's house
take me to rltvs house,take me to rltvs house,relative's house
takeme to relatives house,take to relatives house,relative's house
where is the baby,where is the baby,baby
where s the baby,where s the baby,baby
where i the baby,where i the baby,baby
this is my sister,this is my sister,sister
this is my sister,this is my sister,sister
ths is my sister,this is my sister,sister
this is mysister,this is sister,sister
i want aaloo poori,i want aaloo poori,aaloo poori
i want aalo poori,i want aaloo poori,aaloo poori
 want aaloo poori,want aaloo poori,aaloo poori
i wan aaloo poori,i want aaloo poori,aaloo poori
i like barfi,i like barfi,barfi
 like barfi,like barfi,barfi
i liek barfi,i line barfi,barfi
i like abrfi,i like barfi,barfi
i want some beans on toast,i want some beans on toast,beans on toast
i wantsome beans on toast,i wantsome beans on toast,beans on toast
i want some bns on toast,i want some beans on toast,beans on toast
i want some beans o toast,i want some beans o toast,beans on toast
i want bhakri,i want bhakri,bhakri
i wantbhakri,i bhakri,bhakri
i want bhkr,i want bhakri,bhakri
 want bhakri,want bhakri,bhakri
give me some biscuit,give me some biscuit,biscuits
give me somebiscuit,give me biscuit,biscuits
give me some biscui,give me some biscuit,biscuits
give me sm biscuit,give me sm biscuit,biscuits
give me bread,give me bread,bread
give me braed,give me bread,bread
give me brd,give me bread,bread
give me brea,give me break,bread
i want breakfast,i want breakfast,breakfast
i want brkfst,i want breakfast,breakfast
i want breakfast,i want breakfast,breakfast
i want brownie,i want brownie,brownie
i want brownie,i want brownie,brownie
i want brownei,i want brownie,brownie
i want burger,i want burger,burger
iwant burger,want burger,burger
i wan burger,i want burger,burger
 want burger,want burger,burger
give me a cake slice,give me a cake slice,cake slice
give me a acke slice,give me a jacket slice,cake slice
give me acake slice,give me cake slice,cake slice
give me a cake slic,give me a cake slice,cake slice
i like cake,i like cake,cake
i like cak,i like cake,cake
i liek cake,i line cake,cake
i like cake,i like cake,cake
i love chaat,i love chaat,chaat
 love chaat,love chaat,chaat
i love chaat,i love chaat,chaat
i like cheese pudding,i like cheese pudding,cheese pudding
i like cheese updding,i like cheese pudding,cheese pudding
i like cheese puddin,i like cheese pudding,cheese pudding
i lkie cheese pudding,i line cheese pudding,cheese pudding
i love cheese sticks,i love cheese sticks,cheese sticks
i lovecheese sticks,i cheese sticks,cheese sticks
i love cheese tsicks,i love cheese sticks,cheese sticks
i like cheese,i like cheese,cheese
i likecheese,i cheese,cheese
